,aspect_ratio,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,hu_moment_7,fourier_descriptor_1,fourier_descriptor_2,fourier_descriptor_3,fourier_descriptor_4,fourier_descriptor_5,Best_NH_HRTF
person1_Left,1.5,0.73,2.06,4.7,5.8,11.12,6.9,11.31,1.0,0.12,0.01,0.01,0.02,NH71
person1_Right,1.57,-2.31,-4.25,-4.93,-4.78,-9.6,-6.69,9.2,1.0,0.24,0.34,0.1,0.0,NH161
person2_Left,1.54,-2.05,-3.68,-4.86,-4.81,-9.65,-6.41,7.98,1.0,0.01,0.33,0.02,0.22,NH161
person2_Right,1.54,-2.05,-3.68,-4.86,-4.81,-9.65,-6.41,-8.09,1.0,0.01,0.31,0.02,0.21,NH161
person3_Left,1.45,-1.98,-3.42,-4.47,-4.32,-8.56,-4.94,8.57,1.0,0.32,0.28,0.13,0.02,NH161
person3_Right,1.46,0.75,2.21,3.8,4.95,9.43,6.25,-9.53,1.0,0.12,0.03,0.03,0.0,NH71
person4_Left,1.59,0.72,2.03,3.47,4.3,8.19,5.32,9.17,1.0,0.11,0.06,0.06,0.03,NH71
person4_Right,1.65,0.71,1.97,3.24,4.05,7.7,5.04,-8.47,1.0,0.14,0.07,0.05,0.02,NH10
person5_Left,1.81,-2.24,-4.14,-4.55,-4.54,8.89,-6.58,8.97,1.0,0.3,0.29,0.14,0.07,NH161
person5_Right,1.84,0.71,1.94,3.47,4.18,8.01,5.15,-9.71,1.0,0.18,0.02,0.02,0.02,NH10
person6_Left,1.9,0.71,1.9,3.6,4.43,8.47,5.43,8.95,1.0,0.19,0.05,0.04,0.02,NH10
person6_Right,1.84,0.7,1.85,3.71,4.48,8.58,5.42,-9.45,1.0,0.17,0.03,0.03,0.01,NH10
