NH_File,Left_FFT_1,Left_FFT_2,Left_Skew,Left_Kurtosis,Right_FFT_1,Right_FFT_2,Right_Skew,Right_Kurtosis
NH10,0.001802001348437443,0.03637471379862177,1.2012256790818785,1.4407782777265048,0.003271658548896994,0.04033115971292476,1.353881246250921,1.6456605096957517
NH102,0.006405777274480329,0.038593163561834856,1.3707532042006005,0.9172154970849653,0.0019295584529004373,0.029108616832842712,1.0590570747202837,-0.36315627046790766
NH103,0.0023661511836650106,0.029207891794725594,0.8787534193820866,-0.5657036232261765,0.002799219045940049,0.02991651133298887,0.7835260072755832,-0.4179918789227264
NH104,0.0028285302156234593,0.030123089228601567,1.0446736426888104,0.2778375859085971,0.0019937423762144135,0.029665222727241782,1.331765122012925,1.0062753661035178
NH11,0.0003626357905659461,0.03556531409431889,1.3397789755655942,1.3752813678326739,0.0010280845161503294,0.038693652264541835,0.8144504195728148,-0.19699531513038648
NH110,0.003779593044015428,0.0316813513543408,0.9118091588236262,-0.5085398173372817,0.0029008715958411813,0.031565462017282164,0.5310374634977589,-0.7519673169029466
NH111,0.0023229309236398876,0.02977702436354778,1.0028376796774152,-0.1479352390990103,0.0026585474792355512,0.03103686951047009,1.1143359894899532,0.176319997402421
NH115,0.003741131872573078,0.030062580165264897,0.5465185926437895,-0.8197199464620035,0.0024598562187350126,0.028358539684758138,0.5532214132809953,-0.3144116808557551
NH12,0.0013752843546228632,0.04340731486829864,0.93229439018255,-0.020733721470213684,2.7817848888389562e-05,0.041152013684348523,1.0568332191745313,0.031401162055348486
NH120,0.0028045988619851414,0.02956392632687097,1.2066644941067282,0.448731190880328,0.0010603548014600506,0.029187025172834974,0.9557795987543147,0.19468254207781222
NH122,0.004103243210067831,0.03171124729009152,0.6373496658476369,-0.788337094067725,0.0065322952006283685,0.03878797543500549,0.31789513817055143,-0.6098582384932292
NH123,0.003567352229129739,0.029840681146757007,0.13008272030088594,-0.6063104723945267,0.0031595013552419005,0.030580050370285695,1.1089305416605792,0.7075117336445724
NH128,0.002604779509159383,0.029202940497159224,0.9300212119938879,-0.021206743051104482,0.003285560774259011,0.03110621340825125,1.1625252991562334,0.47867387797338923
NH129,0.003024029907123804,0.029574627848428,1.029812636143721,-0.21964133247813056,0.0036962324802516378,0.03123773585338768,1.0212161127944068,-0.23712455240982022
